,step,mx,final,xy
179,15,15,-74.0,"(24210.0, 5955.0)"
180,15,20,-62.0,"(26736.0, 4145.0)"
181,15,20,-78.0,"(24210.0, 5955.0)"
182,15,20,-153.0,"(22735.0, 5314.0)"
183,15,20,-174.0,"(24210.0, 5955.0)"
184,15,20,95.0,"(27353.0, 4145.0)"
185,15,20,-132.0,"(25537.0, 5728.0)"
186,15,20,-136.0,"(22735.0, 5314.0)"
187,15,20,-33.0,"(27353.0, 4145.0)"
188,15,20,47.0,"(26736.0, 4145.0)"
189,15,20,-123.0,"(25537.0, 4145.0)"
190,15,50,-383.0,"(22735.0, 5314.0)"
191,15,50,-348.0,"(25537.0, 5728.0)"
192,15,50,-350.0,"(25537.0, 4145.0)"
193,15,50,85.0,"(25537.0, 6035.0)"
194,15,50,-35.0,"(27353.0, 4145.0)"
195,15,50,54.0,"(26736.0, 4145.0)"
196,15,50,-345.0,"(25537.0, 4145.0)"
197,15,50,-387.0,"(25537.0, 4145.0)"
198,15,50,3.0,"(27353.0, 4145.0)"
199,15,50,-78.0,"(24210.0, 5955.0)"
200,20,5,-22.0,"(25537.0, 5728.0)"
201,20,5,-24.0,"(25537.0, 4145.0)"
202,20,5,-67.0,"(25537.0, 6035.0)"
203,20,5,-28.0,"(26736.0, 4145.0)"
204,20,5,-25.0,"(27353.0, 4145.0)"
205,20,5,-61.0,"(25537.0, 6035.0)"
206,20,5,-56.0,"(22735.0, 5314.0)"
207,20,5,-28.0,"(26736.0, 4145.0)"
208,20,5,-62.0,"(25537.0, 4145.0)"
209,20,5,-65.0,"(24210.0, 5955.0)"
210,20,10,-71.0,"(25537.0, 5728.0)"
211,20,10,-89.0,"(24210.0, 5955.0)"
212,20,10,66.0,"(27353.0, 4145.0)"
213,20,10,-108.0,"(25537.0, 4145.0)"
214,20,10,-30.0,"(27353.0, 4145.0)"
215,20,10,-81.0,"(24210.0, 5955.0)"
216,20,10,-99.0,"(25537.0, 6035.0)"
217,20,10,-119.0,"(22735.0, 5314.0)"
218,20,10,-83.0,"(25537.0, 5728.0)"
219,20,10,-113.0,"(25537.0, 5728.0)"
220,20,15,78.0,"(25537.0, 6035.0)"
221,20,15,-156.0,"(25537.0, 4145.0)"
222,20,15,-112.0,"(25537.0, 5728.0)"
223,20,15,-58.0,"(26736.0, 4145.0)"
224,20,15,-113.0,"(22735.0, 5314.0)"
225,20,15,-166.0,"(22735.0, 5314.0)"
226,20,15,-134.0,"(25537.0, 5728.0)"
227,20,15,-126.0,"(25537.0, 4145.0)"
228,20,15,-121.0,"(25537.0, 4145.0)"
229,20,15,94.0,"(27353.0, 4145.0)"
230,20,20,-74.0,"(24210.0, 5955.0)"
231,20,20,53.0,"(26736.0, 4145.0)"
232,20,20,-27.0,"(27353.0, 4145.0)"
233,20,20,-189.0,"(25537.0, 4145.0)"
234,20,20,-56.0,"(26736.0, 4145.0)"
235,20,20,-71.0,"(24210.0, 5955.0)"
236,20,20,-226.0,"(25537.0, 5728.0)"
237,20,20,-183.0,"(25537.0, 4145.0)"
238,20,20,-215.0,"(25537.0, 5728.0)"
239,20,20,-182.0,"(25537.0, 4145.0)"
240,20,50,-500.0,"(25537.0, 4145.0)"
241,20,50,-514.0,"(25537.0, 4145.0)"
242,20,50,-53.0,"(26736.0, 4145.0)"
243,20,50,95.0,"(27353.0, 4145.0)"
244,20,50,-497.0,"(25537.0, 4145.0)"
245,20,50,-27.0,"(27353.0, 4145.0)"
246,20,50,-510.0,"(22735.0, 5314.0)"
247,20,50,79.0,"(25537.0, 6035.0)"
248,20,50,-526.0,"(25537.0, 5728.0)"
249,20,50,-64.0,"(26736.0, 4145.0)"
250,40,5,-79.0,"(25537.0, 5728.0)"
251,40,5,-60.0,"(27353.0, 4145.0)"
252,40,5,-53.0,"(22735.0, 5314.0)"
253,40,5,-110.0,"(25537.0, 4145.0)"
254,40,5,13.0,"(26736.0, 4145.0)"
255,40,5,-16.0,"(25537.0, 6035.0)"
256,40,5,-108.0,"(25537.0, 5728.0)"
257,40,5,-75.0,"(25537.0, 4145.0)"
258,40,5,-10.0,"(24210.0, 5955.0)"
259,40,5,-50.0,"(27353.0, 4145.0)"
260,40,10,-186.0,"(27353.0, 4145.0)"
261,40,10,-194.0,"(27353.0, 4145.0)"
262,40,10,-221.0,"(25537.0, 6035.0)"
263,40,10,-228.0,"(22735.0, 5314.0)"
264,40,10,-212.0,"(22735.0, 5314.0)"
265,40,10,-204.0,"(27353.0, 4145.0)"
