,z,xy,focus,file,brenner,range,entropy,sobel,variance,power,nz
29,9285.0,"(24210.0, 5955.0)",9380.0,D:\WorkDrive\Images\FL\009285z_024210x_005955y_093797F.tiff,27903862.0,34517.0,6.546746369358959,3009346052.0,838.3648158070563,345098342.0,-95.0
30,9285.0,"(25537.0, 4145.0)",9383.0,D:\WorkDrive\Images\FL\009285z_025537x_004145y_093834F.tiff,27160362.0,43174.0,6.1839123551724,67515512.0,472.3697848579633,1948808691.0,-98.0
31,9285.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009285z_026736x_004145y_093692F.tiff,27736380.0,42546.0,6.531667313136759,-1994058980.0,821.4437406833554,507290943.0,-84.0
32,9285.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009285z_027353x_004145y_093672F.tiff,16464984.0,139968.0,4.9983544174114645,-921507432.0,147.15964416949163,4254462471.0,-82.0
33,9286.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009286z_025537x_005728y_093729F.tiff,21483244.0,143191.0,5.424937911601144,1207440180.0,493.8239984814655,2466540053.0,-87.0
34,9286.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009286z_025537x_006035y_093706F.tiff,19805592.0,140039.0,5.540745695753454,904809264.0,861.4181236123434,2963548258.0,-85.0
35,9287.0,"(24210.0, 5955.0)",9380.0,D:\WorkDrive\Images\FL\009287z_024210x_005955y_093797F.tiff,27857502.0,36081.0,6.556454286636509,816907228.0,868.5267117297838,426334552.0,-93.0
36,9287.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009287z_026736x_004145y_093692F.tiff,27680110.0,44726.0,6.533332531866881,-2183060860.0,841.6921882844612,511158750.0,-82.0
37,9287.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009287z_027353x_004145y_093672F.tiff,16389484.0,144084.0,4.991540065793694,369360572.0,152.15244804636117,4294175040.0,-80.0
38,9288.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009288z_025537x_005728y_093729F.tiff,21459104.0,148024.0,5.3985797146066705,1268070628.0,512.2821969832762,2459369055.0,-85.0
